{ heapUsed: 13925808, heapTotal: 29118464, rss: 48091136, now: 1711316379945 }
{ heapUsed: 49892616, heapTotal: 81776640, rss: 113315840, now: 1711316384922 }
{ heapUsed: 80258800, heapTotal: 109441024, rss: 143527936, now: 1711316389929 }
{ heapUsed: 107931328, heapTotal: 139907072, rss: 175022080, now: 1711316394931 }
{ heapUsed: 116356632, heapTotal: 140750848, rss: 179339264, now: 1711316399938 }
{ heapUsed: 116540240, heapTotal: 140750848, rss: 179363840, now: 1711316404945 }
{ heapUsed: 116639280, heapTotal: 140750848, rss: 179339264, now: 1711316409946 }
{ heapUsed: 103402096, heapTotal: 108064768, rss: 144662528, now: 1711316414959 }
{ heapUsed: 103565992, heapTotal: 108064768, rss: 144678912, now: 1711316419966 }
{ heapUsed: 103786568, heapTotal: 108064768, rss: 144715776, now: 1711316424978 }
{ heapUsed: 103939536, heapTotal: 108064768, rss: 144740352, now: 1711316429980 }
{ heapUsed: 104039160, heapTotal: 108064768, rss: 144744448, now: 1711316434988 }
{ heapUsed: 103425664, heapTotal: 107016192, rss: 143687680, now: 1711316439990 }
{ heapUsed: 103507856, heapTotal: 107016192, rss: 143691776, now: 1711316444992 }
{ heapUsed: 103681360, heapTotal: 107016192, rss: 143704064, now: 1711316450006 }
{ heapUsed: 103852152, heapTotal: 107016192, rss: 144060416, now: 1711316455009 }
{ heapUsed: 104008216, heapTotal: 107016192, rss: 144072704, now: 1711316460020 }
{ heapUsed: 104231672, heapTotal: 107016192, rss: 144125952, now: 1711316465024 }
{ heapUsed: 104346888, heapTotal: 107016192, rss: 144244736, now: 1711316470033 }
{ heapUsed: 103578408, heapTotal: 107016192, rss: 143405056, now: 1711316475043 }
{ heapUsed: 103702832, heapTotal: 107016192, rss: 143536128, now: 1711316480050 }
{ heapUsed: 103809288, heapTotal: 107016192, rss: 143642624, now: 1711316485052 }
{ heapUsed: 103987320, heapTotal: 107016192, rss: 143822848, now: 1711316490059 }
{ heapUsed: 104431904, heapTotal: 107278336, rss: 143060992, now: 1711316495058 }
{ heapUsed: 104551408, heapTotal: 107278336, rss: 143183872, now: 1711316500072 }
{ heapUsed: 104687448, heapTotal: 107278336, rss: 143794176, now: 1711316505076 }
{ heapUsed: 103972336, heapTotal: 107278336, rss: 143044608, now: 1711316510081 }
{ heapUsed: 104059736, heapTotal: 107278336, rss: 143126528, now: 1711316515084 }
{ heapUsed: 104210560, heapTotal: 107278336, rss: 143302656, now: 1711316520090 }
{ heapUsed: 104355688, heapTotal: 107278336, rss: 143495168, now: 1711316525092 }
{ heapUsed: 104549064, heapTotal: 107278336, rss: 143708160, now: 1711316530106 }
{ heapUsed: 104703616, heapTotal: 107278336, rss: 143888384, now: 1711316535110 }
{ heapUsed: 103937840, heapTotal: 107278336, rss: 143093760, now: 1711316540113 }
