{ heapUsed: 11968728, heapTotal: 19513344, rss: 52662272, now: 1711316570406 }
{ heapUsed: 65481320, heapTotal: 91758592, rss: 130727936, now: 1711316575533 }
{ heapUsed: 113833368, heapTotal: 142766080, rss: 184205312, now: 1711316580534 }
{ heapUsed: 153260080, heapTotal: 183087104, rss: 224071680, now: 1711316585549 }
{ heapUsed: 159921456, heapTotal: 186920960, rss: 228999168, now: 1711316590561 }
{ heapUsed: 160255216, heapTotal: 186920960, rss: 229031936, now: 1711316595575 }
{ heapUsed: 160728184, heapTotal: 186920960, rss: 229031936, now: 1711316600575 }
{ heapUsed: 154009072, heapTotal: 161435648, rss: 200839168, now: 1711316605589 }
{ heapUsed: 154228384, heapTotal: 161435648, rss: 200945664, now: 1711316610594 }
{ heapUsed: 154643384, heapTotal: 161697792, rss: 201080832, now: 1711316615603 }
{ heapUsed: 155030176, heapTotal: 161959936, rss: 201547776, now: 1711316620612 }
{ heapUsed: 155216872, heapTotal: 161959936, rss: 201781248, now: 1711316625617 }
{ heapUsed: 155532280, heapTotal: 161959936, rss: 202027008, now: 1711316630621 }
{ heapUsed: 155763952, heapTotal: 161959936, rss: 202280960, now: 1711316635632 }
{ heapUsed: 156110704, heapTotal: 161959936, rss: 203997184, now: 1711316640647 }
{ heapUsed: 155272200, heapTotal: 159338496, rss: 201859072, now: 1711316645652 }
{ heapUsed: 155546024, heapTotal: 159338496, rss: 201994240, now: 1711316650667 }
{ heapUsed: 155843552, heapTotal: 159338496, rss: 202039296, now: 1711316655675 }
{ heapUsed: 155802488, heapTotal: 159600640, rss: 201666560, now: 1711316660686 }
{ heapUsed: 156023136, heapTotal: 159600640, rss: 201912320, now: 1711316665688 }
{ heapUsed: 156209632, heapTotal: 159600640, rss: 202117120, now: 1711316670693 }
{ heapUsed: 156248440, heapTotal: 160911360, rss: 203198464, now: 1711316675700 }
{ heapUsed: 156148216, heapTotal: 160124928, rss: 202760192, now: 1711316680701 }
{ heapUsed: 156466744, heapTotal: 160124928, rss: 201469952, now: 1711316685716 }
{ heapUsed: 156731376, heapTotal: 160124928, rss: 201519104, now: 1711316690733 }
{ heapUsed: 156565760, heapTotal: 160387072, rss: 201383936, now: 1711316695736 }
{ heapUsed: 156717312, heapTotal: 160387072, rss: 201576448, now: 1711316700750 }
{ heapUsed: 156437968, heapTotal: 161697792, rss: 202158080, now: 1711316705761 }
{ heapUsed: 156757032, heapTotal: 161697792, rss: 202493952, now: 1711316710771 }
{ heapUsed: 156955744, heapTotal: 161697792, rss: 202719232, now: 1711316715777 }
{ heapUsed: 157051192, heapTotal: 160911360, rss: 202186752, now: 1711316720784 }
{ heapUsed: 157466592, heapTotal: 160911360, rss: 204222464, now: 1711316725786 }
{ heapUsed: 157198032, heapTotal: 161435648, rss: 203964416, now: 1711316730796 }
{ heapUsed: 157471808, heapTotal: 161435648, rss: 204259328, now: 1711316735799 }
{ heapUsed: 157318984, heapTotal: 162484224, rss: 204988416, now: 1711316740803 }
{ heapUsed: 157494384, heapTotal: 162484224, rss: 205172736, now: 1711316745805 }
{ heapUsed: 157734968, heapTotal: 162484224, rss: 205430784, now: 1711316750809 }
{ heapUsed: 157881664, heapTotal: 162484224, rss: 205586432, now: 1711316755825 }
{ heapUsed: 157607160, heapTotal: 161697792, rss: 205029376, now: 1711316760825 }
